Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",MHF,Method Hiding Factor,Class,AbstractJpaAutoConfigurationTests,0.857142857,0.823529412
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",RFC,Response For a Class,Class,AbstractJpaAutoConfigurationTests,14,18
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",AIF,Attribute Inheritance Factor,Class,AbstractJpaAutoConfigurationTests,0,0
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",MIF,Method Inheritance Factor,Class,AbstractJpaAutoConfigurationTests,0,0
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",TLOC,Total Lines of Code,Class,AbstractJpaAutoConfigurationTests,102,135
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",WMC,Weighted methods per Class,Class,AbstractJpaAutoConfigurationTests,14,17
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",LCOM*,Lack of Cohesion Methods (H-S),Class,AbstractJpaAutoConfigurationTests,0.538461538,0.5625
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",AHF,Attribute Hiding Factor,Class,AbstractJpaAutoConfigurationTests,0,0
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method_AFTER,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",MHF,Method Hiding Factor,Class,HibernateJpaAutoConfigurationTests,0.909090909,0.916666667
https://github.com/spring-projects/spring-boot,v1.5.4.RELEASE-v2.0.4.RELEASE,bd02edf2ce749b70dcc45563bbeec2ab503d875c,Push Down Method_AFTER,"Push Down Method	public dataSourceIsCreatedWithDefaultConfig() : void from class org.springframework.boot.autoconfigure.orm.jpa.AbstractJpaAutoConfigurationTests to public autoConfigurationBacksOffWithSeveralDataSources() : void from class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests",RFC,Response For a Class,Class,HibernateJpaAutoConfigurationTests,11,12
