Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,MHF,Method Hiding Factor,Class,AsyncLogger,0.363636364,0.384615385
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,RFC,Response For a Class,Class,AsyncLogger,22,13
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,AIF,Attribute Inheritance Factor,Class,AsyncLogger,0.0,0.0
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,TLOC,Total Lines of Code,Class,AsyncLogger,198,66
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,MIF,Method Inheritance Factor,Class,AsyncLogger,0.0,0.0
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,WMC,Weighted methods per Class,Class,AsyncLogger,36,19
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,LCOM*,Lack of Cohesion Methods (H-S),Class,AsyncLogger,0.965367965,0.95
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,AHF,Attribute Hiding Factor,Class,AsyncLogger,0.0,0.0
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method_AFTER,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,MHF,Method Hiding Factor,Class,AsyncLoggerHelper,-,0.272727273
https://github.com/apache/logging-log4j2,log4j-2.4-log4j-2.5,d3a06415095ae3784c3f2034843bdfc874a790f1,Extract Method_AFTER,Extract Method	package getDisruptor() : Disruptor<RingBufferLogEvent> extracted from public stop() : void in class org.apache.logging.log4j.core.async.AsyncLoggerHelper,RFC,Response For a Class,Class,AsyncLoggerHelper,-,15
